,RegionName,State,Metro,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12
123,Mercer County,NJ,Trenton,1700.0,1700.0,1650.0,1675.0,1795.0,1850.0,1900.0,1850.0,1850.0,1800.0,1800.0,1750.0,1750.0,1750.0,1700.0,1700.0,1750.0,1800.0,1800.0,1800.0,1750.0,1700.0,1692.5,1697.5,1650.0,1650.0,1700.0,1800.0,1800.0,1800.0,1800.0,1850.0,1750.0,1750.0,1750.0,1700.0,1650.0,1700.0,1800.0,1800.0,1850.0,1900.0,1800.0,1800.0,1650.0,1750.0,1800.0,1600.0,1700.0,1650.0,1700.0,1795.0,1800.0,1850.0,1800.0,1750.0,1750.0,1700.0,1600.0,1550.0,1600.0,1550.0,1550.0,1650.0,1775.0,1800.0,1812.5,1800.0,1750.0,1750.0,1675.0,1650.0
130,Somerset County,NJ,New York-Newark-Jersey City,1800.0,1825.0,1850.0,1900.0,1950.0,1997.5,1950.0,1900.0,1950.0,1950.0,1950.0,1950.0,1950.0,1950.0,1925.0,1950.0,2000.0,2100.0,2100.0,2100.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2100.0,2200.0,2150.0,2100.0,2050.0,2040.0,2000.0,2000.0,2000.0,2050.0,2100.0,2100.0,2075.0,2200.0,2100.0,2000.0,2150.0,2000.0,2037.5,2000.0,2000.0,2100.0,2100.0,2150.0,2200.0,2200.0,2200.0,2100.0,2100.0,2150.0,2150.0,2100.0,2100.0,2100.0,2000.0,2100.0,2150.0,2200.0,2200.0,2150.0,2150.0,2100.0,2100.0,2100.0
143,Gloucester County,NJ,Philadelphia-Camden-Wilmington,1550.0,1562.0,1550.0,1500.0,1500.0,1500.0,1500.0,1550.0,1595.0,1500.0,1500.0,1462.5,1500.0,1485.0,1497.0,1495.0,1500.0,1500.0,1500.0,1497.5,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1550.0,1595.0,1600.0,1550.0,1500.0,1500.0,1550.0,1550.0,1600.0,1585.0,1600.0,1612.5,1600.0,1650.0,1500.0,1600.0,1650.0,1650.0,1562.5,1650.0,1600.0,1625.0,1600.0,1587.5,1650.0,1800.0,1650.0,1650.0,1600.0,1600.0,1600.0,1700.0,1700.0,1700.0,1750.0,1700.0,1750.0,1750.0,1675.0,1700.0,1700.0,1650.0,1685.0,1700.0,1700.0
151,Atlantic County,NJ,Atlantic City-Hammonton,1600.0,1772.5,1800.0,1875.0,2000.0,1900.0,1900.0,1750.0,1600.0,1500.0,1500.0,1600.0,1600.0,1700.0,1600.0,1600.0,1800.0,1800.0,1700.0,1500.0,1400.0,1400.0,1450.0,1450.0,1550.0,1600.0,1700.0,1750.0,1800.0,1950.0,1800.0,1600.0,1500.0,1400.0,1400.0,1400.0,1500.0,1550.0,1625.0,1700.0,1705.0,1700.0,1695.0,1600.0,1550.0,1450.0,1400.0,1400.0,1500.0,1575.0,1600.0,1700.0,1700.0,1700.0,1600.0,1500.0,1450.0,1450.0,1400.0,1400.0,1595.0,1600.0,1600.0,1650.0,1700.0,1700.0,1600.0,1500.0,1500.0,1450.0,1500.0,1600.0
201,Cumberland County,NJ,Vineland-Bridgeton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,1175.0,1272.5,1200.0,1250.0,1250.0,1250.0,1212.5,1300.0,1250.0,1250.0,1250.0,1200.0,1200.0,1225.0,1275.0,1262.5,1300.0,1200.0,1200.0,1200.0,1250.0,1250.0,1300.0
206,Sussex County,NJ,New York-Newark-Jersey City,1350.0,1350.0,1350.0,1400.0,1450.0,1362.5,1400.0,1450.0,1500.0,1500.0,1500.0,1500.0,1450.0,1400.0,1400.0,1375.0,1450.0,1500.0,1450.0,1450.0,1500.0,1525.0,1550.0,1537.5,1550.0,1500.0,1500.0,1550.0,1475.0,1450.0,1500.0,1525.0,1500.0,1485.0,1450.0,1500.0,1500.0,1450.0,1500.0,1562.5,1562.5,1675.0,1500.0,1600.0,1712.5,1662.5,1550.0,1500.0,1400.0,1575.0,1600.0,1575.0,1550.0,1550.0,1550.0,1700.0,1700.0,1700.0,1700.0,1700.0,1550.0,1550.0,1550.0,1587.5,1750.0,1750.0,1762.5,1700.0,1700.0,1700.0,1700.0,1650.0
224,Hunterdon County,NJ,New York-Newark-Jersey City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1900.0,2000.0,1950.0,1850.0,1750.0,1800.0,1800.0,1797.5,1900.0,1850.0,1850.0,1890.0,1800.0,1890.0,1850.0,1950.0,1800.0,1925.0,2200.0,2100.0,2100.0,1950.0,1900.0,2100.0,2097.5
239,Warren County,NJ,Allentown-Bethlehem-Easton,1450.0,1525.0,1595.0,1500.0,1362.5,1350.0,1412.5,1595.0,1565.0,1462.5,1500.0,1500.0,1475.0,1300.0,1400.0,1490.0,1550.0,1697.5,1700.0,1600.0,1600.0,1512.5,1470.0,1470.0,1575.0,1475.0,1450.0,1600.0,1550.0,1500.0,1600.0,1497.5,1425.0,1500.0,1500.0,1372.5,1350.0,1500.0,1495.0,1475.0,1550.0,1600.0,1375.0,1600.0,1600.0,1500.0,1475.0,1400.0,1400.0,1472.5,1550.0,1500.0,1500.0,1497.5,1450.0,1472.5,1550.0,1500.0,1400.0,1350.0,1350.0,1400.0,1425.0,1550.0,1550.0,1637.5,1637.5,1500.0,1550.0,1575.0,1550.0,1425.0
245,Cape May County,NJ,Ocean City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1950.0,2000.0,2000.0,1987.5,1650.0,1600.0,1350.0,1500.0,1587.5
271,Salem County,NJ,Philadelphia-Camden-Wilmington,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,1200.0,1200.0,1225.0,1287.5,1200.0,1200.0,1150.0,1150.0,1272.5,1200.0,1200.0,1200.0,1212.5,1225.0,1200.0,1200.0,1200.0,1250.0,1225.0,1200.0,1200.0,1200.0
